Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C001 Statistical Area Level 1 2011 to Local Government Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
SA1_MAINCODE_2011,SA1_7DIGITCODE_2011,LGA_CODE_2011,LGA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
,,,,,,,,,,,,
10101100101,1100101,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100102,1100102,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100103,1100103,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100104,1100104,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100105,1100105,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100106,1100106,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100107,1100107,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100108,1100108,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100109,1100109,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100110,1100110,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100111,1100111,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100112,1100112,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100113,1100113,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100114,1100114,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100115,1100115,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100116,1100116,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100117,1100117,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100118,1100118,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100119,1100119,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100120,1100120,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100121,1100121,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100122,1100122,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100123,1100123,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100124,1100124,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100125,1100125,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100126,1100126,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100127,1100127,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100128,1100128,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100129,1100129,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100130,1100130,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100131,1100131,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100132,1100132,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100133,1100133,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100134,1100134,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100135,1100135,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100136,1100136,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100137,1100137,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100138,1100138,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100139,1100139,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100140,1100140,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100141,1100141,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100142,1100142,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100143,1100143,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100144,1100144,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100145,1100145,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100146,1100146,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100147,1100147,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100148,1100148,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100149,1100149,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100150,1100150,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100151,1100151,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100152,1100152,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100153,1100153,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100154,1100154,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100155,1100155,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100156,1100156,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100157,1100157,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100158,1100158,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100159,1100159,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100160,1100160,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100161,1100161,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100201,1100201,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100202,1100202,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100203,1100203,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100204,1100204,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100205,1100205,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100206,1100206,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100207,1100207,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100208,1100208,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100209,1100209,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100210,1100210,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100211,1100211,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100212,1100212,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100213,1100213,13310,Goulburn Mulwaree (A),0.9822665,98.2266523,,,,,,,
10101100213,1100213,17640,Upper Lachlan Shire (A),0.0177335,1.7733477,,,,,,,
10101100214,1100214,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100215,1100215,13310,Goulburn Mulwaree (A),0.9999963,99.999631,,,,,,,
10101100216,1100216,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100217,1100217,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100218,1100218,13310,Goulburn Mulwaree (A),0.9999968,99.9996836,,,,,,,
10101100219,1100219,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100220,1100220,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100221,1100221,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100222,1100222,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100223,1100223,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100224,1100224,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100225,1100225,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100226,1100226,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100227,1100227,16180,Palerang (A),0.3259286,32.5928614,,,,,,,
10101100227,1100227,17640,Upper Lachlan Shire (A),0.639502,63.9502039,,,,,,,
10101100227,1100227,18710,Yass Valley (A),0.0345693,3.4569346,,,,,,,
10101100228,1100228,13310,Goulburn Mulwaree (A),0.951566,95.1566034,,,,,,,
10101100228,1100228,17640,Upper Lachlan Shire (A),0.048434,4.8433966,,,,,,,
10101100229,1100229,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10101100230,1100230,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100231,1100231,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100232,1100232,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100233,1100233,17640,Upper Lachlan Shire (A),0.9848997,98.489973,,,,,,,
10101100233,1100233,18350,Wingecarribee (A),0.0151003,1.510027,,,,,,,
10101100301,1100301,18710,Yass Valley (A),1,100,,,,,,,
10101100302,1100302,18710,Yass Valley (A),1,100,,,,,,,
10101100303,1100303,18710,Yass Valley (A),1,100,,,,,,,
10101100304,1100304,18710,Yass Valley (A),1,100,,,,,,,
10101100305,1100305,18710,Yass Valley (A),1,100,,,,,,,
10101100306,1100306,18710,Yass Valley (A),1,100,,,,,,,
10101100307,1100307,18710,Yass Valley (A),1,100,,,,,,,
10101100308,1100308,18710,Yass Valley (A),1,100,,,,,,,
10101100309,1100309,18710,Yass Valley (A),1,100,,,,,,,
10101100310,1100310,18710,Yass Valley (A),1,100,,,,,,,
10101100311,1100311,18710,Yass Valley (A),1,100,,,,,,,
10101100312,1100312,18710,Yass Valley (A),1,100,,,,,,,
10101100313,1100313,18710,Yass Valley (A),1,100,,,,,,,
10101100314,1100314,18710,Yass Valley (A),1,100,,,,,,,
10101100401,1100401,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100402,1100402,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100403,1100403,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100404,1100404,18710,Yass Valley (A),1,100,,,,,,,
10101100405,1100405,18710,Yass Valley (A),1,100,,,,,,,
10101100406,1100406,18710,Yass Valley (A),1,100,,,,,,,
10101100407,1100407,18710,Yass Valley (A),1,100,,,,,,,
10101100408,1100408,18710,Yass Valley (A),1,100,,,,,,,
10101100409,1100409,18710,Yass Valley (A),1,100,,,,,,,
10101100410,1100410,18710,Yass Valley (A),1,100,,,,,,,
10101100411,1100411,18710,Yass Valley (A),1,100,,,,,,,
10101100412,1100412,18710,Yass Valley (A),1,100,,,,,,,
10101100413,1100413,11050,Boorowa (A),1,100,,,,,,,
10101100414,1100414,18710,Yass Valley (A),1,100,,,,,,,
10101100415,1100415,18710,Yass Valley (A),1,100,,,,,,,
10101100416,1100416,18710,Yass Valley (A),1,100,,,,,,,
10101100417,1100417,18710,Yass Valley (A),1,100,,,,,,,
10101100418,1100418,18710,Yass Valley (A),1,100,,,,,,,
10101100419,1100419,18710,Yass Valley (A),1,100,,,,,,,
10101100420,1100420,18710,Yass Valley (A),1,100,,,,,,,
10101100421,1100421,17640,Upper Lachlan Shire (A),1,100,,,,,,,
10101100422,1100422,13700,Harden (A),1,100,,,,,,,
10101100423,1100423,18710,Yass Valley (A),1,100,,,,,,,
10101100424,1100424,18710,Yass Valley (A),1,100,,,,,,,
10101100425,1100425,17640,Upper Lachlan Shire (A),0.7134438,71.3443844,,,,,,,
10101100425,1100425,18710,Yass Valley (A),0.2865562,28.6556156,,,,,,,
10101100426,1100426,18710,Yass Valley (A),1,100,,,,,,,
10101100427,1100427,18710,Yass Valley (A),1,100,,,,,,,
10101100428,1100428,18710,Yass Valley (A),1,100,,,,,,,
10101100429,1100429,18710,Yass Valley (A),0.9999963,99.9996279,,,,,,,
10101100430,1100430,18710,Yass Valley (A),1,100,,,,,,,
10101100431,1100431,18710,Yass Valley (A),1,100,,,,,,,
10101100432,1100432,18710,Yass Valley (A),1,100,,,,,,,
10101100433,1100433,18710,Yass Valley (A),1,100,,,,,,,
10101100434,1100434,18710,Yass Valley (A),1,100,,,,,,,
10101100501,1100501,18750,Young (A),1,100,,,,,,,
10101100502,1100502,18750,Young (A),1,100,,,,,,,
10101100503,1100503,18750,Young (A),1,100,,,,,,,
10101100504,1100504,18750,Young (A),1,100,,,,,,,
10101100505,1100505,18750,Young (A),1,100,,,,,,,
10101100506,1100506,18750,Young (A),1,100,,,,,,,
10101100507,1100507,18750,Young (A),1,100,,,,,,,
10101100508,1100508,18750,Young (A),1,100,,,,,,,
10101100509,1100509,18750,Young (A),1,100,,,,,,,
10101100510,1100510,18750,Young (A),1,100,,,,,,,
10101100511,1100511,18750,Young (A),1,100,,,,,,,
10101100512,1100512,18750,Young (A),1,100,,,,,,,
10101100513,1100513,18750,Young (A),1,100,,,,,,,
10101100514,1100514,18750,Young (A),1,100,,,,,,,
10101100515,1100515,18750,Young (A),1,100,,,,,,,
10101100516,1100516,18750,Young (A),1,100,,,,,,,
10101100517,1100517,13700,Harden (A),0.0896692,8.9669167,,,,,,,
10101100517,1100517,18750,Young (A),0.9103308,91.0330833,,,,,,,
10101100518,1100518,13700,Harden (A),0.2888901,28.8890074,,,,,,,
10101100518,1100518,18750,Young (A),0.7111099,71.1109926,,,,,,,
10101100519,1100519,18750,Young (A),1,100,,,,,,,
10101100520,1100520,18750,Young (A),1,100,,,,,,,
10101100521,1100521,18750,Young (A),1,100,,,,,,,
10101100522,1100522,18750,Young (A),1,100,,,,,,,
10101100523,1100523,18750,Young (A),1,100,,,,,,,
10101100524,1100524,18750,Young (A),1,100,,,,,,,
10101100525,1100525,18750,Young (A),1,100,,,,,,,
10101100526,1100526,18750,Young (A),1,100,,,,,,,
10101100527,1100527,18750,Young (A),1,100,,,,,,,
10101100528,1100528,18750,Young (A),1,100,,,,,,,
10101100529,1100529,18750,Young (A),1,100,,,,,,,
10101100530,1100530,18750,Young (A),1,100,,,,,,,
10101100601,1100601,11050,Boorowa (A),1,100,,,,,,,
10101100602,1100602,13700,Harden (A),1,100,,,,,,,
10101100603,1100603,13700,Harden (A),1,100,,,,,,,
10101100604,1100604,13700,Harden (A),1,100,,,,,,,
10101100605,1100605,11050,Boorowa (A),1,100,,,,,,,
10101100606,1100606,11050,Boorowa (A),1,100,,,,,,,
10101100607,1100607,13700,Harden (A),1,100,,,,,,,
10101100608,1100608,13700,Harden (A),1,100,,,,,,,
10101100609,1100609,13700,Harden (A),1,100,,,,,,,
10101100610,1100610,18750,Young (A),1,100,,,,,,,
10101100611,1100611,18750,Young (A),1,100,,,,,,,
10101100612,1100612,18750,Young (A),1,100,,,,,,,
10101100613,1100613,18750,Young (A),1,100,,,,,,,
10101100614,1100614,18750,Young (A),1,100,,,,,,,
10101100615,1100615,11050,Boorowa (A),1,100,,,,,,,
10101100616,1100616,11050,Boorowa (A),1,100,,,,,,,
10101100617,1100617,11050,Boorowa (A),1,100,,,,,,,
10101100618,1100618,13700,Harden (A),1,100,,,,,,,
10101100619,1100619,13700,Harden (A),1,100,,,,,,,
10101100620,1100620,13700,Harden (A),1,100,,,,,,,
10101100621,1100621,18750,Young (A),1,100,,,,,,,
10102100701,1100701,13310,Goulburn Mulwaree (A),1,100,,,,,,,
10102100702,1100702,16180,Palerang (A),1,100,,,,,,,
10102100703,1100703,16180,Palerang (A),1,100,,,,,,,
10102100704,1100704,16180,Palerang (A),1,100,,,,,,,
10102100705,1100705,16180,Palerang (A),1,100,,,,,,,
10102100706,1100706,16180,Palerang (A),1,100,,,,,,,
10102100707,1100707,16180,Palerang (A),1,100,,,,,,,
10102100708,1100708,16180,Palerang (A),1,100,,,,,,,
10102100709,1100709,16180,Palerang (A),1,100,,,,,,,
10102100710,1100710,16180,Palerang (A),0.9999946,99.9994575,,,,,,,
10102100801,1100801,16470,Queanbeyan (C),1,100,,,,,,,
10102100802,1100802,16470,Queanbeyan (C),1,100,,,,,,,
10102100803,1100803,16470,Queanbeyan (C),1,100,,,,,,,
10102100804,1100804,16470,Queanbeyan (C),1,100,,,,,,,
10102100805,1100805,16470,Queanbeyan (C),1,100,,,,,,,
10102100806,1100806,16470,Queanbeyan (C),1,100,,,,,,,
10102100807,1100807,16470,Queanbeyan (C),1,100,,,,,,,
10102100808,1100808,16470,Queanbeyan (C),1,100,,,,,,,
10102100809,1100809,16470,Queanbeyan (C),1,100,,,,,,,
10102100810,1100810,16470,Queanbeyan (C),1,100,,,,,,,
10102100811,1100811,16470,Queanbeyan (C),1,100,,,,,,,
10102100812,1100812,16470,Queanbeyan (C),1,100,,,,,,,
10102100813,1100813,16470,Queanbeyan (C),1,100,,,,,,,
10102100814,1100814,16470,Queanbeyan (C),1,100,,,,,,,
10102100815,1100815,16470,Queanbeyan (C),1,100,,,,,,,
10102100816,1100816,16470,Queanbeyan (C),1,100,,,,,,,
10102100817,1100817,16470,Queanbeyan (C),1,100,,,,,,,
10102100818,1100818,16470,Queanbeyan (C),1,100,,,,,,,
10102100819,1100819,16470,Queanbeyan (C),1,100,,,,,,,
10102100820,1100820,16470,Queanbeyan (C),1,100,,,,,,,
10102100821,1100821,16470,Queanbeyan (C),1,100,,,,,,,
10102100822,1100822,16470,Queanbeyan (C),1,100,,,,,,,
10102100823,1100823,16470,Queanbeyan (C),1,100,,,,,,,
10102100901,1100901,16470,Queanbeyan (C),1,100,,,,,,,
10102100902,1100902,16470,Queanbeyan (C),1,100,,,,,,,
10102100903,1100903,16470,Queanbeyan (C),1,100,,,,,,,
10102100904,1100904,16470,Queanbeyan (C),1,100,,,,,,,
10102100905,1100905,16470,Queanbeyan (C),1,100,,,,,,,
10102100906,1100906,16470,Queanbeyan (C),1,100,,,,,,,
10102100907,1100907,16470,Queanbeyan (C),1,100,,,,,,,
10102100908,1100908,16470,Queanbeyan (C),1,100,,,,,,,
10102100909,1100909,16470,Queanbeyan (C),1,100,,,,,,,
10102100910,1100910,16470,Queanbeyan (C),1,100,,,,,,,
10102100911,1100911,16470,Queanbeyan (C),1,100,,,,,,,
10102100912,1100912,16470,Queanbeyan (C),1,100,,,,,,,
10102100913,1100913,16470,Queanbeyan (C),1,100,,,,,,,
10102100914,1100914,16470,Queanbeyan (C),1,100,,,,,,,
10102100915,1100915,16470,Queanbeyan (C),1,100,,,,,,,
10102100916,1100916,16470,Queanbeyan (C),1,100,,,,,,,
10102100917,1100917,16470,Queanbeyan (C),1,100,,,,,,,
10102100918,1100918,16470,Queanbeyan (C),1,100,,,,,,,
10102100919,1100919,16470,Queanbeyan (C),1,100,,,,,,,
10102100920,1100920,16470,Queanbeyan (C),1,100,,,,,,,
10102100921,1100921,16470,Queanbeyan (C),1,100,,,,,,,
10102100922,1100922,16470,Queanbeyan (C),1,100,,,,,,,
10102101001,1101001,16470,Queanbeyan (C),1,100,,,,,,,
10102101002,1101002,16470,Queanbeyan (C),1,100,,,,,,,
10102101003,1101003,16470,Queanbeyan (C),1,100,,,,,,,
